user_id,subj_id,device_id,cohort_id,dropped,drop_type,rank,rank_date,pref,rtc_checkin_date,brpc_attempts,pop,mos,pebd,eas,dob,ht,wt,area_code,married,city,state,hs_name,hs_city,hs_state,hs_grad_year,hs_sports,hs_clubs,college_name,college_city,college_state,college_grad_year,college_sports,college_clubs,hobbies,swimming_exp,workout_exp,DOR_Time,DOR_Activity,drop_date,age,height,weight
62,df76fa9d-5cd6-42e1-a253-bedaa3df14e9,10,1,True,Pass,PFC,2022-01-31,MCT/HZ,20188355,1,TX,214,2014-04-28,2027-10-09,1977-09-21,74,137,997,N,Daniellechester,NJ,"Moon, Ibarra and Oliver",South Veronica,NH,2016,2,4,Hernandez-Franklin,NA,NA,NA,2,NA,Hour daughter land born describe understand thing minute.,2,2,NA,NA,2014-10-17,41,58,175
63,fe6eed5e-3af7-4762-a968-bfc8dc14a37b,9,2,False,DOR,PFC,2020-03-06,ALAT,NA,3,MT,138,2018-09-21,2032-05-15,1998-05-16,62,149,547,N,Figueroaview,VT,Campbell Ltd,Lake Markland,AL,2014,4,1,NA,West Andrewland,NH,2003,2,1,Space own skill skill.,2,2,NA,NA,2016-07-02,28,72,157
64,4c536c19-79c3-40d0-9dec-e375870690c3,2,2,True,DOR,HN,2019-10-14,MCT/HZ,NA,2,MA,712,2016-12-22,2033-07-27,2003-02-07,66,142,745,N,South Anthony,AZ,Velez-Pineda,West Douglaschester,MH,2014,4,1,"Brennan, Smith and Hawkins",NA,NA,NA,NA,NA,Business prepare from help something policy young fish.,3,3,08:24:14,T,NA,26,61,168
65,e34a53c3-5301-43a6-bb4d-2f2275e8f25f,20,2,False,DOR,HN,2016-10-08,ALAT,20188069,1,HI,868,2014-09-30,2029-12-06,1998-08-01,68,192,921,N,Brandonstad,WA,Silva PLC,Robertton,SD,2011,2,0,NA,NA,NA,NA,NA,NA,Improve hold reflect grow visit interest close.,1,1,NA,NA,NA,47,55,165
66,96171c8a-46b5-4556-9103-0ac12c16dfa9,1,2,True,DOR,SGT,2015-07-10,ALAT,20184899,3,MN,629,2014-11-17,2030-02-21,1989-01-16,73,181,229,N,Erinfort,FM,"Maynard, Anderson and Allen",Amyshire,CA,2000,4,2,Green-Blanchard,NA,MH,2020,4,3,Skill war performance.,2,2,00:20:10,N,NA,48,73,188
67,07de6c7a-a8ff-4cc9-aafe-897c646f61db,19,2,True,DOR,HN,2018-10-17,NAV,NA,3,MP,809,2018-04-21,2028-07-03,1973-07-22,66,143,565,N,Crystalborough,FL,"Rodriguez, Snyder and Roberts",Lake Rebecca,GA,2013,1,3,NA,NA,AR,NA,NA,NA,Room pay everyone available accept issue strong.,2,3,15:15:14,S,NA,49,60,156
68,24611076-5e86-4722-8254-60cd761a7e1b,8,2,True,Pass,PFC,2019-04-24,UH,20186410,3,WY,116,2018-07-18,2032-02-16,1997-05-30,62,174,407,N,West Amy,FM,Kramer-Davila,Elizabethville,GA,2001,2,1,Washington-Pena,Lake Bradyside,NJ,NA,NA,NA,Believe suffer which scientist.,3,1,23:35:49,NA,NA,39,60,149
69,9a3a186c-5d15-4835-a20d-bffd86368697,8,1,True,DOR,PFC,2019-12-17,NAV,20188268,1,OK,807,2017-08-31,2031-06-28,1977-05-07,63,175,347,N,Jessicaside,KY,"Mccarthy, Calhoun and Hayes",Michealfort,WA,2009,1,3,NA,Kellerchester,NA,2015,NA,3,Expert whether issue large someone.,2,1,NA,Q,2021-11-07,45,55,187
70,f90617d4-3e5d-4226-946f-2a85c384c2a9,9,1,True,Pass,PFC,2015-06-30,UH,20188316,3,OK,149,2015-10-04,2023-09-30,2001-08-15,72,148,233,N,Port Johnport,HI,"Hall, Barnett and Holmes",Monroeshire,RI,2016,1,3,NA,NA,AS,2005,NA,4,Myself much current opportunity check senior.,1,1,13:00:51,K,2021-03-26,27,56,147
71,1ddeda32-3f68-47a0-ad71-44b4207ee5c3,9,2,True,Pass,HN,2021-06-23,NAV,20184754,3,FL,236,2021-03-24,2025-11-06,1977-07-20,61,195,692,N,Taylorton,NM,"Davis, Gibson and Adams",West Gregoryberg,FM,2005,4,0,NA,NA,NA,2007,NA,NA,Although street reveal sport.,3,3,NA,Y,NA,35,55,141
72,4971d45d-a005-4581-b517-9a36190cb281,9,2,True,DOR,HN,2023-07-02,MCT/HZ,NA,2,TN,468,2019-04-03,2032-09-07,1986-10-30,64,176,261,N,Dunlapland,RI,Byrd Inc,Rossview,AS,2009,1,0,"Mathis, Bowman and Mack",NA,DC,NA,4,3,Mrs water president writer.,2,2,06:10:54,H,NA,24,57,196
